model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 CLS Class,2017,Semi-Auto,34567,Diesel,145,51.4,3.0,21950
 SL CLASS,2019,Automatic,821,Petrol,145,36.2,3.0,35899
 E Class,2015,Automatic,44387,Diesel,150,55.4,2.1,13999
 GLA Class,2016,Automatic,23337,Diesel,125,56.5,2.1,17890
 E Class,2017,Semi-Auto,16931,Diesel,145,65.7,2.0,23072
 A Class,2017,Manual,17284,Diesel,145,68.9,1.5,15799
 A Class,2017,Manual,47351,Diesel,20,72.4,1.5,12400
 GLE Class,2017,Semi-Auto,20266,Diesel,145,47.9,2.1,30950
 C Class,2019,Semi-Auto,13789,Diesel,145,61.4,2.0,25749
 M Class,2015,Semi-Auto,37484,Diesel,300,39.2,3.0,22498
 C Class,2017,Semi-Auto,38085,Diesel,20,65.7,2.1,14549
 CLS Class,2019,Semi-Auto,12346,Diesel,145,47.9,2.9,43499
 A Class,2017,Automatic,16500,Diesel,145,74.3,1.5,15978
 E Class,2017,Semi-Auto,39851,Diesel,145,61.4,2.0,19891
 B Class,2017,Semi-Auto,26109,Diesel,20,68.9,2.1,14995
 A Class,2018,Automatic,13267,Diesel,145,65.7,1.5,17699
 A Class,2018,Automatic,15905,Diesel,145,68.9,1.5,17702
 A Class,2016,Semi-Auto,42400,Diesel,20,74.3,1.5,13295
 GLA Class,2017,Semi-Auto,34526,Diesel,125,56.5,2.1,19852
 A Class,2019,Semi-Auto,891,Petrol,145,22.6,4.0,114199
 A Class,2016,Semi-Auto,39057,Diesel,20,74.3,1.5,15200
 A Class,2018,Semi-Auto,8420,Petrol,145,30.1,4.0,78995
 C Class,2017,Semi-Auto,22485,Hybrid,0,74.3,2.1,20790
 C Class,2019,Semi-Auto,4589,Diesel,145,64.2,2.0,30200
 GLC Class,2019,Automatic,1829,Petrol,145,22.1,4.0,69995
 CLS Class,2019,Automatic,6273,Diesel,145,48.7,2.9,35980
 C Class,2014,Semi-Auto,47399,Diesel,20,64.2,2.1,14299
 CL Class,2016,Semi-Auto,52819,Diesel,20,67.3,2.1,16299
 C Class,2014,Semi-Auto,39920,Diesel,30,64.2,2.1,15698
 C Class,2017,Automatic,9507,Petrol,145,47.1,2.0,25000
 A Class,2014,Manual,42000,Diesel,20,70.6,1.5,10990
 E Class,2015,Automatic,36013,Diesel,125,61.4,2.1,15000
 C Class,2019,Automatic,2695,Diesel,145,55.4,2.0,28810
 A Class,2019,Semi-Auto,2500,Diesel,145,56.5,2.0,23500
 B Class,2020,Automatic,4239,Diesel,145,55.4,2.0,21990
 C Class,2019,Automatic,2800,Petrol,145,28.0,4.0,67000
 A Class,2017,Semi-Auto,15001,Diesel,145,68.9,2.1,17049
 A Class,2019,Semi-Auto,3895,Diesel,145,56.5,2.0,26799
 GLA Class,2018,Semi-Auto,33312,Petrol,145,50.4,1.6,18480
 E Class,2016,Automatic,18895,Diesel,20,72.4,2.0,17691
 V Class,2019,Automatic,18603,Diesel,145,48.7,2.1,20750
 C Class,2018,Semi-Auto,4898,Diesel,145,54.3,2.0,29099
 E Class,2013,Semi-Auto,48976,Diesel,125,57.7,2.1,13991
 C Class,2019,Semi-Auto,13,Diesel,145,55.4,2.0,29995
 C Class,2019,Semi-Auto,3239,Diesel,145,65.7,1.6,20990
 C Class,2016,Semi-Auto,27890,Diesel,20,67.3,2.1,20700
 CLK,2003,Automatic,185000,Petrol,330,17.8,4.3,3495
 CLS Class,2015,Automatic,23446,Diesel,125,57.7,2.1,18499
 GLE Class,2019,Automatic,6170,Diesel,145,32.8,3.0,48890
 C Class,2018,Semi-Auto,2684,Petrol,145,44.1,1.5,21449
 B Class,2013,Manual,70230,Diesel,30,64.2,1.8,7395
 A Class,2019,Semi-Auto,8118,Petrol,145,53.3,1.3,24050
 A Class,2018,Semi-Auto,5491,Petrol,145,45.6,2.0,22990
 A Class,2019,Semi-Auto,7908,Petrol,145,53.3,1.3,25495
 E Class,2017,Semi-Auto,26508,Diesel,145,61.4,2.0,21500
 E Class,2015,Automatic,37000,Diesel,125,57.7,2.1,13990
 E Class,2018,Automatic,19419,Diesel,150,61.4,2.0,20000
 C Class,2015,Semi-Auto,32023,Diesel,30,64.2,2.1,15998
 GLA Class,2016,Automatic,42844,Diesel,30,64.2,2.1,15600
 E Class,2017,Automatic,25567,Diesel,145,51.4,3.0,22740
 A Class,2017,Manual,30000,Diesel,150,62.8,2.1,17901
 E Class,2020,Automatic,20,Diesel,145,57.7,2.0,42798
 C Class,2016,Manual,34246,Diesel,20,65.7,2.1,14299
 A Class,2019,Semi-Auto,10180,Diesel,150,68.9,1.5,19549
 A Class,2020,Semi-Auto,4000,Diesel,145,56.5,2.0,26981
 CL Class,2016,Automatic,46000,Diesel,20,67.3,2.1,16490
 GLC Class,2017,Semi-Auto,9501,Diesel,145,56.5,2.1,30971
 C Class,2017,Automatic,22700,Diesel,145,54.3,2.1,25092
 E Class,2019,Automatic,1347,Diesel,145,47.1,3.0,38880
 E Class,2019,Automatic,13493,Petrol,145,32.1,4.0,58298
 E Class,2017,Automatic,37132,Diesel,30,65.7,2.0,19500
 A Class,2019,Semi-Auto,5244,Diesel,145,56.5,2.0,26599
 A Class,2019,Manual,5902,Petrol,145,28.5,1.3,20340
 E Class,2016,Semi-Auto,33499,Diesel,30,65.7,2.0,18990
 A Class,2013,Semi-Auto,66484,Petrol,145,50.4,1.6,9770
 C Class,2017,Automatic,19402,Petrol,145,44.1,2.0,24480
 B Class,2019,Automatic,1649,Diesel,145,55.4,2.0,22990
 CLS Class,2011,Automatic,88559,Diesel,200,46.3,3.0,11995
 C Class,2019,Semi-Auto,6641,Petrol,145,29.7,3.0,39950
 C Class,2016,Automatic,50995,Diesel,30,64.2,1.6,14495
 C Class,2015,Semi-Auto,49910,Diesel,125,60.1,2.1,17441
 E Class,2019,Semi-Auto,10374,Diesel,145,38.2,3.0,39995
 A Class,2016,Semi-Auto,17062,Petrol,160,45.6,2.0,19671
 C Class,2018,Automatic,20090,Diesel,145,60.1,2.1,18799
 A Class,2018,Semi-Auto,4265,Diesel,145,65.7,1.5,19491
